Naslov|Reziser|Glumac|Jezik zvuka|Omjer slike|Regija|Trajanje|Ocjena
enim nisl elementum|Marvin Mckay|Clementine Burks|Hrvatski|4:3|2|45|5
enim nisl elementum|Yen Bass|Clementine Burks|Hrvatski|4:3|2|45|5
nec, cursus a, enim. Suspendisse aliquet,|Neville Mccullough|Madaline Craig|Hrvatski|2.35:1|4|46|3
Duis risus odio,|Orlando Hart|Heather Sexton|Hrvatski|2.35:1|7|47|3
auctor|Dillon Adkins|Gretchen Bates|Hrvatski|4:3|4|48|1
egestas|Lawrence Frazier|Ivana Harper|Hrvatski|4:3|9|49|3
Fusce diam nunc, ullamcorper eu, euismod|Hyatt Potts|Elaine Cox|Hrvatski|2.35:1|2|50|2
et, eros. Proin ultrices.|Bruce Preston|Xantha Travis|Hrvatski|16:9|6|51|5
neque. In ornare sagittis|Solomon Houston|Phyllis Kline|Hrvatski|4:3|1|52|2
augue|Bruno Barlow|TaShya Deleon|Hrvatski|4:3|0|53|5
orci lacus vestibulum lorem, sit amet|Chaim Mcgee|Gail Crawford|Hrvatski|16:9|9|54|4
Sed id|Clayton Trujillo|Halee Glass|Hrvatski|16:9|7|55|1
hendrerit|Omar Hutchinson|Yen Bass|Hrvatski|4:3|7|56|5
turpis. In condimentum. Donec at arcu.|Arden Greer|Ulla Harvey|Hrvatski|4:3|4|57|2
gravida. Aliquam|Price Taylor|Paloma Carson|Hrvatski|4:3|1|58|4
amet,|Russell Parks|Katell Diaz|Hrvatski|4:3|6|59|2
elit erat vitae|Knox Short|Lenore Thompson|Hrvatski|16:9|4|60|1
luctus|Lamar Glover|Hollee Ballard|Hrvatski|16:9|ALL|61|1
Donec fringilla. Donec feugiat metus sit|Tad Sears|Jenna Silva|Hrvatski|2.35:1|3|62|2
lacinia at, iaculis quis, pede.|Zachary Schultz|Savannah Puckett|Hrvatski|2.35:1|7|63|3
Integer|Byron Ramsey|Maia Wells|Hrvatski|4:3|7|64|1
Donec consectetuer mauris id sapien.|David Atkins|Anjolie Johnston|Hrvatski|16:9|5|65|4
