ISBN|Naslov|Autor|Jezik|Broj stranica|Izdavac|Izdanje|Datum izdanja|Ocjena
142-6-17-358397-8|nec, cursus a, enim. Suspendisse aliquet,|Walton, Reece S.|Hrvatski|75|nisi. Cum sociis|VIII|14.01.2008|5
142-6-17-358397-8|nec, cursus a, enim. Suspendisse aliquet,|Booker, Quamar S.|Hrvatski|75|nisi. Cum sociis|VIII|14.01.2008|5
491-1-26-066753-8|taciti sociosqu ad|Dunlap, Kylee U.|Hrvatski|76|ultrices a,|V|07.12.2007|4
300-9-07-672966-2|sit amet|Pacheco, Yvonne E.|Hrvatski|77|feugiat placerat|VII|01.08.2007|4
156-8-23-119731-6|lacus pede sagittis|Stevenson, Rama F.|Hrvatski|78|cubilia Curae;|V|16.06.2007|1
321-5-33-517770-5|mauris ut mi. Duis|Booker, Quamar S.|Hrvatski|79|sed sem egestas|VI|09.07.2007|4
676-9-37-604759-7|consectetuer adipiscing elit.|Gill, Isaac W.|Hrvatski|80|metus|VI|06.01.2008|3
837-5-98-974947-9|Donec egestas. Aliquam nec enim. Nunc ut erat.|Cunningham, Quinn V.|Hrvatski|81|dignissim magna a|VII|07.06.2007|4
835-6-22-027817-9|non leo. Vivamus nibh dolor, nonummy ac, feugiat|Savage, Phyllis Q.|Hrvatski|82|faucibus. Morbi|VII|04.10.2007|3
723-0-35-816505-5|sollicitudin adipiscing ligula. Aenean gravida nunc sed|Finch, Brooke P.|Hrvatski|83|metus. In|VII|09.04.2008|2
586-9-67-518066-4|amet luctus vulputate, nisi sem semper erat,|Faulkner, Aaron T.|Hrvatski|84|aliquet. Phasellus fermentum|VII|28.10.2007|2
681-3-43-159798-6|aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum|Riddle, Ingrid W.|Hrvatski|85|Vivamus non|VI|02.12.2007|3
461-7-77-757527-6|est ac mattis semper, dui lectus|Burt, Jane Q.|Hrvatski|86|erat volutpat.|VII|01.05.2007|3
583-2-69-912779-2|dapibus quam|Powell, Ryan L.|Hrvatski|87|penatibus|II|30.10.2007|2
