Naslov|Ime grupe|Kategorija|Regija izdanja|Izdavac|Pjesma|Trajanje (sekundi)|Ocjena
arcu. Morbi|Colt, Ariel, Jin, Serina||Americas|dui. Suspendisse ac|et,|424|Worth Listening
arcu. Morbi|Angela, Hayfa, Trevor, Maia||Americas|dui. Suspendisse ac|et,|424|Worth Listening
arcu. Morbi|Oren, Gareth, Tyler, Abbot||Americas|dui. Suspendisse ac|et,|424|Worth Listening
nisl elementum purus, accumsan|Yvette, Danielle, Uma, Eagan|Metal|Oceania|libero et tristique|Integer vulputate,|225|Pretty Cool
auctor ullamcorper,|Sydney, Hayley, Tad, Rahim|Blues|Europe|Nunc|ut, pellentesque eget, dictum|489|Nothing Special
ipsum|Branden, Galena, Ciaran, Jillian|Pop-rock|Europe|eu|luctus|235|Pretty Cool
lorem,|Leo, Gwendolyn, Zephr, Nola|Pop-rock, Metal|Europe|malesuada vel,|Nam consequat|287|Worth Listening
Nullam suscipit,|Uta, Carla, Callie, Amity|Rap|Oceania|eu metus.|dolor elit,|369|Pretty Cool
felis. Nulla tempor|Dale, Stella, Wing, Justine|Pop-rock|Africa|nec, diam. Duis|amet ante. Vivamus non|348|Poor
In lorem. Donec|Angela, Hayfa, Trevor, Maia|Rap|Africa|quis urna. Nunc|vulputate dui, nec|298|Awesome!
lectus. Nullam suscipit,|Jolene, Indigo, Guinevere, Adria||Africa|lectus justo eu|Quisque|485|Pretty Cool
enim nisl|Sophia, Leilani, Keane, Illana||Europe|non magna.|non justo. Proin non|228|Nothing Special
molestie. Sed id risus|Cherokee, Ivan, Aphrodite, Kellie|Blues|Oceania|ut odio vel|malesuada fames ac|455|Poor
neque venenatis lacus.|Raymond, Odette, Sandra, Marny|Metal, Jazz|Oceania|Quisque fringilla|urna, nec luctus felis|458|Poor
metus facilisis lorem tristique|Vielka, Lacy, Martin, Jamal||Europe|tellus.|ipsum|285|Nothing Special
