Naslov rada|Autor|Kategorija|Podrucje|Izdavac|Jezik|Recenzija|Datum izdanja
sapien. Nunc|Nathaniel Stein|Sudjelovanje na skupu|Racunarstvo|pede nec ante|Hrvatski|Domaca|05.04.1998
sapien. Nunc|Caesar Leon|Sudjelovanje na skupu|Racunarstvo|pede nec ante|Hrvatski|Domaca|05.04.1998
sapien. Nunc|Dustin Torres|Sudjelovanje na skupu|Racunarstvo|pede nec ante|Hrvatski|Domaca|05.04.1998
enim, sit amet ornare lectus justo|Bruno Hoffman|Knjiga|Racunarstvo|arcu. Vestibulum ut|Hrvatski|Medjunarodna|16.10.1996
dis parturient montes, nascetur ridiculus|Dustin Sandoval|Sudjelovanje na skupu|Akustika|mus. Proin|Hrvatski|Medjunarodna|06.05.2004
Aenean eget metus. In nec orci. Donec nibh.|Caesar Leon|Sudjelovanje na skupu|Telekomunikacije|mi felis, adipiscing|Hrvatski|Domaca|24.10.2000
a, magna. Lorem ipsum dolor sit amet, consectetuer|Jonas Turner|Knjiga|Energetika|enim. Etiam|Hrvatski|Nema|03.08.2001
In lorem.|Demetrius Cole|Doktorat|Telekomunikacije|dignissim.|Hrvatski|Medjunarodna|31.08.1995
vehicula. Pellentesque tincidunt|Dante Ferguson|Sudjelovanje na skupu|Energetika|massa. Quisque|Hrvatski|Medjunarodna|19.10.2002
erat. Etiam vestibulum massa rutrum|Zachary Griffith|Knjiga|Racunarstvo|dolor.|Hrvatski|Medjunarodna|22.03.2002
lorem. Donec elementum,|Dustin Torres|Knjiga|Akustika|amet metus. Aliquam|Hrvatski|Medjunarodna|14.07.1995
odio. Etiam ligula|Joseph Shepard|Zavrsni rad|Telekomunikacije|mattis.|Hrvatski|Domaca|21.07.1996
Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla|Clark Doyle|Sudjelovanje na skupu|Strojarstvo|dolor|Hrvatski|Nema|04.01.1998
enim. Sed nulla ante, iaculis nec, eleifend|Joseph Christensen|Rad u casopisu|Telekomunikacije|vitae odio|Hrvatski|Nema|31.08.2001
ac risus. Morbi metus.|William Velazquez|Zavrsni rad|Energetika|cursus in, hendrerit|Hrvatski|Domaca|05.05.1998
auctor, velit eget laoreet posuere, enim nisl elementum|Jin Bowers|Sudjelovanje na skupu|Racunarstvo|orci. Donec|Hrvatski|Domaca|01.05.2001
convallis|Amal Griffin|Rad u casopisu|Strojarstvo|gravida molestie|Hrvatski|Nema|13.07.2004
lacus. Mauris non dui nec urna suscipit|Cade Bolton|Rad u casopisu|Racunarstvo|nec|Hrvatski|Nema|02.12.1996
vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque|Griffith Ward|Knjiga|Energetika|nisl.|Hrvatski|Domaca|21.02.2005
est ac facilisis facilisis, magna tellus faucibus|Walker Henderson|Knjiga|Energetika|Nulla aliquet. Proin|Hrvatski|Nema|21.08.1997
tincidunt pede ac urna.|Zachery Bender|Knjiga|Racunarstvo|urna justo faucibus|Hrvatski|Medjunarodna|12.05.2001
non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra|Driscoll Ray|Sudjelovanje na skupu|Akustika|felis|Hrvatski|Domaca|08.01.1998
semper, dui lectus rutrum urna, nec|Giacomo Goodwin|Doktorat|Elektrotehnika|velit. Aliquam nisl.|Hrvatski|Nema|13.08.2006
vel est tempor bibendum. Donec|Erich Rhodes|Sudjelovanje na skupu|Strojarstvo|Sed nunc est,|Hrvatski|Nema|07.04.2007
fringilla euismod enim. Etiam gravida|Vladimir Larson|Zavrsni rad|Strojarstvo|sed|Hrvatski|Medjunarodna|11.01.2001
tincidunt congue|Lyle Garrett|Rad u casopisu|Akustika|libero. Proin|Hrvatski|Domaca|20.05.2003
dui lectus rutrum urna, nec|Solomon Spears|Doktorat|Telekomunikacije|convallis ligula. Donec|Hrvatski|Domaca|03.09.2004
orci,|Donovan Hendrix|Doktorat|Strojarstvo|lacus vestibulum lorem,|Hrvatski|Medjunarodna|15.09.2006
odio a purus. Duis elementum, dui|Aaron Alston|Doktorat|Racunarstvo|magna|Hrvatski|Domaca|17.06.2004
non,|Akeem Mccarty|Doktorat|Elektrotehnika|Duis cursus,|Hrvatski|Domaca|10.05.2000
non, feugiat nec, diam. Duis mi enim,|Jonas Edwards|Sudjelovanje na skupu|Akustika|molestie dapibus ligula.|Hrvatski|Nema|08.09.2003
nulla at sem molestie sodales. Mauris blandit enim consequat purus.|Bruce Meyer|Zavrsni rad|Strojarstvo|a|Hrvatski|Medjunarodna|06.10.1998
accumsan interdum|Seth Dudley|Rad u casopisu|Telekomunikacije|eget, ipsum. Donec|Hrvatski|Nema|02.11.1998
ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id|Keefe Goodwin|Rad u casopisu|Racunarstvo|sagittis felis. Donec|Hrvatski|Medjunarodna|11.06.1999
placerat velit. Quisque varius. Nam porttitor scelerisque neque.|Elliott Stewart|Doktorat|Racunarstvo|ante dictum|Hrvatski|Nema|18.10.1996
semper tellus id|Branden Hudson|Rad u casopisu|Telekomunikacije|vitae purus gravida|Hrvatski|Nema|09.08.1999
enim|Griffin Carey|Doktorat|Strojarstvo|tempus risus. Donec|Hrvatski|Nema|04.10.1998
eu nibh vulputate mauris sagittis placerat. Cras dictum|Lawrence Barrett|Zavrsni rad|Akustika|ut cursus luctus,|Hrvatski|Nema|25.02.2006
netus et malesuada|Cole Tate|Knjiga|Racunarstvo|enim, sit|Hrvatski|Nema|02.12.2000
Donec est mauris, rhoncus|Kirk Lowery|Knjiga|Racunarstvo|enim. Nunc|Hrvatski|Medjunarodna|06.03.2001
sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam|Yuli Irwin|Zavrsni rad|Akustika|nec tempus scelerisque,|Hrvatski|Domaca|10.11.2006
tincidunt|Sawyer Rosales|Rad u casopisu|Energetika|Integer|Hrvatski|Domaca|03.09.2001
neque tellus, imperdiet non, vestibulum nec, euismod in, dolor.|Harding Middleton|Sudjelovanje na skupu|Elektrotehnika|lacus, varius et,|Hrvatski|Medjunarodna|12.09.2002
risus. Nulla eget metus eu erat semper|Castor Sweeney|Doktorat|Akustika|arcu. Vestibulum ante|Hrvatski|Domaca|31.08.2000
ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus|Justin Bender|Sudjelovanje na skupu|Racunarstvo|justo|Hrvatski|Domaca|01.08.2004
