Naslov rada|Ime autora|Prezime autora|Kategorija|Podrucje|Izdavac|Jezik|Recenzija|Datum izdanja
Sed|Colleen|Lowery|Masters Thesis|Computer Science|vitae risus.|DE|Local|04/06/2004
Sed|Mia|Chambers|Masters Thesis|Computer Science|vitae risus.|DE|Local|04/06/2004
Sed|Janna|Boyd|Masters Thesis|Computer Science|vitae risus.|DE|Local|04/06/2004
sociis natoque penatibus et|Dieter|Harrison|Phd Thesis|Computer Science|tristique|SE|Local|08/10/1998
placerat|Edan|Bishop|Phd Thesis|Electrical Engineering|pede. Cras vulputate|DE|Local|01/19/1996
Cras vulputate velit eu sem. Pellentesque ut|Shaine|Travis|Phd Thesis|Computer Engineering|urna.|SI|International|02/21/1993
nulla. In tincidunt congue turpis. In condimentum.|Kenyon|Gordon|Paper|Electrical Engineering|ut|SE|Local|10/21/2003
sit amet risus. Donec egestas. Aliquam nec enim.|Jeanette|Russo|Masters Thesis|Computer Engineering|risus|SE|International|01/08/2005
rhoncus. Proin nisl sem, consequat nec, mollis|Ethan|Ortiz|Masters Thesis|Computer Engineering|pharetra, felis|SI|International|07/14/2005
dictum eu, placerat eget, venenatis a,|Noelani|Mccarthy|Phd Thesis|Electrical Engineering|viverra.|HR|None|03/06/2003
dignissim magna a tortor. Nunc commodo auctor velit. Aliquam|Damon|Pruitt|Masters Thesis|Computer Engineering|aliquam adipiscing lacus.|DE|Local|04/19/1998
est. Nunc ullamcorper,|Mia|Chambers|Paper|Computer Science|adipiscing ligula.|EN|Local|02/24/2006
et libero. Proin mi.|Bruce|Martinez|Phd Thesis|Electrical Engineering|elementum, dui|SE|International|08/21/1993
nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum|Arsenio|Ferguson|Book|Computer Engineering|lorem lorem,|HR|International|11/16/2002
Quisque|Melissa|Mathews|Phd Thesis|Electrical Engineering|laoreet|EN|Local|12/10/1993
sed|Clio|Rojas|Masters Thesis|Computer Science|non, luctus|SE|International|01/31/2000
tellus non magna. Nam ligula elit, pretium|Maggie|Perez|Book|Computer Engineering|nascetur ridiculus mus.|HR|International|06/09/2001
quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus|Tyler|Hampton|Phd Thesis|Computer Science|ac turpis|HR|None|03/27/2004
at fringilla purus|Janna|Boyd|Book|Electrical Engineering|non, luctus sit|SI|Local|09/03/2005
Duis volutpat nunc sit amet metus.|Darryl|Knowles|Phd Thesis|Computer Science|blandit congue. In|DE|International|01/30/1994
quis, pede. Praesent eu dui. Cum|Ulysses|Joyner|Paper|Electrical Engineering|felis. Nulla|SE|International|09/01/2003
parturient montes, nascetur ridiculus mus.|Aline|Lloyd|Paper|Computer Science|diam|SE|International|11/04/1996
placerat eget, venenatis a,|Drew|Patton|Masters Thesis|Computer Science|nostra, per|DE|International|02/05/2006
non, sollicitudin a, malesuada id, erat.|Carol|Tillman|Paper|Electrical Engineering|non magna.|SE|International|11/17/2002
purus. Maecenas libero est, congue a,|Lucy|Potts|Phd Thesis|Computer Science|euismod mauris|SI|Local|01/17/2006
ornare egestas ligula. Nullam feugiat|Unity|Pollard|Phd Thesis|Electrical Engineering|magna.|HR|Local|12/15/1997
dolor|Chandler|Clemons|Masters Thesis|Computer Engineering|eget magna.|DE|International|05/23/1999
sem|Ronan|Burton|Paper|Computer Engineering|tempus eu,|DE|International|01/18/1994
Quisque|Harper|Santos|Masters Thesis|Electrical Engineering|Ut|EN|International|11/23/1993
torquent per conubia nostra, per inceptos hymenaeos. Mauris|Tatum|Clark|Book|Electrical Engineering|tellus. Suspendisse sed|HR|International|12/22/1993
dui, in sodales elit erat vitae risus. Duis a mi|Mia|Brady|Phd Thesis|Computer Science|vitae velit|SI|None|01/12/1994
enim nec tempus|Clayton|Bauer|Book|Electrical Engineering|ipsum leo elementum|SI|Local|02/20/2004
eget laoreet posuere, enim nisl elementum purus,|Violet|Sampson|Masters Thesis|Electrical Engineering|at, egestas|HR|International|09/03/2002
erat semper|Jasmine|Butler|Phd Thesis|Computer Science|cursus et, eros.|SI|Local|01/19/2006
sem semper erat, in consectetuer|Evelyn|Sutton|Paper|Computer Engineering|lectus ante dictum|HR|International|03/17/1997
