Model|Procesor|Frekvencija (GHz)|Tvrdi disk|Kapacitet (GB)|Kolicina RAM-a (GB)|Namjena|Datum kupnje|Inventarski broj|OS
L98X1|Turion|1|Maxtor|530|1GB|desktop replacement|16.03.07|286-130|Debian
L98X1|Turion|1|Seagate|40|1GB|desktop replacement|16.03.07|286-130|Debian
K47k1|Sempron|1|Maxtor|201|512MB|desktop replacement|09.03.03|773-335|Debian
R60b4|Core Duo|2|Seagate|460|512MB|desktop replacement|06.05.05|825-511|Debian
P60q7|Core Duo|1|Maxtor|428|2GB|desktop replacement|18.08.05|932-601|WindowsXP
S18p3|Turion|1|Hitachi|147|512MB|ultra prijenosnik|12.02.05|632-001|Debian
W54D1|Core Solo|1|Hitachi|282|1GB|desktop replacement|13.01.07|586-292|Debian
I64z3|Sempron|1|Seagate|482|2GB|poslovni|26.03.04|964-949|WindowsVista
E83C6|Sempron|1|Hitachi|566|1GB|ultra prijenosnik|21.04.05|217-736|WindowsXP
P86y8|Sempron|1|Hitachi|222|2GB|ultra prijenosnik|08.03.05|794-516|WindowsXP
J95t1|Core Duo|1|Hitachi|516|2GB|ultra prijenosnik|19.10.02|108-015|WindowsXP
B21z5|Turion|1|Hitachi|96|2GB|ultra prijenosnik|06.09.05|917-718|WindowsVista
V95N5|Sempron|2|Seagate|288|2GB|ultra prijenosnik|15.04.05|161-970|Debian
V33J2|Core Solo|1|Hitachi|390|512MB|poslovni|13.01.08|380-691|WindowsVista
C11r9|Turion|2|Maxtor|145|1GB|poslovni|09.10.02|796-209|WindowsVista
P92b3|Sempron|2|Maxtor|454|512MB|desktop replacement|23.01.03|106-183|Debian
O25k1|Turion|2|Fujitsu|394|512MB|ultra prijenosnik|28.08.04|770-630|Debian
F53D9|Core Duo|2|Maxtor|486|512MB|desktop replacement|28.03.04|234-952|WindowsXP
V26F8|Sempron|1|Hitachi|595|512MB|ultra prijenosnik|22.12.05|475-127|WindowsXP
T29V8|Turion|2|Seagate|219|512MB|ultra prijenosnik|05.09.05|858-852|Debian
K99s6|Core Solo|2|Fujitsu|476|512MB|poslovni|30.11.05|857-885|WindowsXP
J98C2|Core Solo|2|Fujitsu|542|2GB|desktop replacement|27.01.07|630-729|Debian
T14v8|Turion|1|Seagate|81|512MB|desktop replacement|05.01.07|676-322|WindowsVista
Z92Y9|Sempron|1|Maxtor|97|2GB|ultra prijenosnik|08.05.04|739-216|WindowsXP
A20m0|Core Solo|2|Fujitsu|414|1GB|desktop replacement|19.12.05|481-309|WindowsXP
D96T6|Core Solo|2|Seagate|60|2GB|desktop replacement|27.05.02|759-403|WindowsVista
T31j3|Turion|1|Hitachi|562|512MB|desktop replacement|11.06.02|857-524|WindowsVista
X16h3|Core Duo|2|Hitachi|118|2GB|ultra prijenosnik|12.06.04|411-289|WindowsXP
