Hostname|Procesor|Frekvencija (GHz)|Broj procesora|Tvrdi disk(ovi)|Kapacitet svakog (GB)|Kolicina RAM-a (GB)|Namjena|Datum kupnje|Inventarski broj|Lokacija|OS
VEFBJZ061|Core2 Duo|1|4|3|193|1GB|Osobno racunalo|16-09-06|1 62 536|ZPM|Windows
LKHVJJ450|Opteron|2|3|5|201|12GB|Server|03-03-06|1 16 376|PCLAB|Windows
GEGQNR159|Core2 Solo|2|2|6|210|4GB|Osobno racunalo|17-05-04|1 90 266|PCLAB|Linux
SYIFQN760|Xeon|3|3|8|332|12GB|Osobno racunalo|30-05-05|1 49 601|PCLAB|Windows
UCNLQH077|Core2 Solo|3|1|2|52|6GB|Server|19-08-06|1 99 809|CIP|Linux
VGEMNG221|Core2 Duo|2|4|6|265|8GB|Server|23-08-03|1 47 631|PCLAB|Unix
EMLSSR980|Xeon|3|2|1|316|8GB|Server|22-02-08|1 17 122|ZPM|Windows
CQCVHB736|Xeon|3|3|1|395|4GB|Osobno racunalo|02-03-04|1 21 643|ZPM|Windows
DIZLJR709|Opteron|1|2|5|175|4GB|Server|21-11-04|1 78 506|CIP|Linux
FRCPJV632|Core2 Solo|1|2|6|347|1GB|Osobno racunalo|25-04-05|1 29 285|ZARI|Unix
WOQFJG562|Xeon|3|3|3|356|8GB|Osobno racunalo|13-06-07|1 71 429|ZPM|Windows
XVNHCB924|Core2 Solo|3|1|8|324|1GB|Osobno racunalo|28-07-07|1 90 582|ZARI|Windows
FRLHSJ512|Opteron|2|1|5|121|2GB|Server|16-11-02|1 28 846|PCLAB|Windows
OSJHBY432|Xeon|4|3|8|174|6GB|Server|27-10-02|1 17 278|ZPM|Windows
WLLYJW265|Opteron|1|2|7|387|8GB|Osobno racunalo|28-11-07|1 92 983|ZARI|Linux
VEWFAC854|Core2 Duo|3|3|5|343|4GB|Osobno racunalo|16-08-04|1 59 974|ZARI|Linux
KSEKVB923|Core2 Duo|3|2|6|275|4GB|Osobno racunalo|09-02-08|1 97 146|CIP|Windows
HLMCNK382|Core2 Duo|3|2|5|311|4GB|Server|26-03-03|1 87 349|ZARI|Windows
RMKEWU010|Opteron|2|3|4|230|6GB|Osobno racunalo|11-04-04|1 32 922|ZPM|Windows
SQHOLI750|Core2 Solo|2|3|7|81|1GB|Server|01-07-04|1 38 147|ZARI|Unix
RYZCGR634|Core2 Duo|2|2|7|184|6GB|Server|30-12-07|1 73 249|CIP|Windows
NEGUWW126|Core2 Solo|2|3|5|119|6GB|Server|23-01-06|1 87 375|CIP|Linux
YDSVZU065|Xeon|4|2|1|388|8GB|Osobno racunalo|22-02-05|1 72 229|ZPM|Linux
ZCTZXW649|Opteron|4|2|6|144|12GB|Server|08-10-04|1 65 260|ZPM|Windows
OYMLVC975|Xeon|2|1|7|384|4GB|Osobno racunalo|18-08-03|1 22 724|PCLAB|Windows
PEQKGO187|Xeon|3|1|2|354|6GB|Server|23-04-03|1 62 905|ZARI|Windows
JLUQZY474|Core2 Solo|1|1|1|144|2GB|Osobno racunalo|13-03-06|1 61 317|ZPM|Linux
